la1,la2,la3,la4,la5
1,1,0,0,0
1,0,0,0,0
1,1,0,0,1
0,0,1,0,1
0,0,1,1,1
0,1,0,1,0
1,1,0,1,0
1,0,1,0,0
1,0,1,1,0
1,1,1,1,1
1,1,1,1,0
0,0,0,1,1
1,0,0,0,1
1,0,1,0,0
0,1,1,0,0
0,0,0,1,0
1,0,0,0,1
1,0,0,1,0
1,0,1,1,1
1,1,1,1,1
1,1,0,1,1
0,1,0,1,1
0,0,1,1,0
0,1,0,0,1
0,1,0,1,0
1,0,1,1,0
1,0,0,0,0
1,1,1,0,1
1,0,0,0,0
0,0,0,1,1
1,0,0,0,1
1,0,1,1,1
1,0,1,0,0
1,0,1,1,0
1,1,0,0,1
1,0,1,1,0
1,1,1,0,0
1,1,0,1,1
0,1,0,0,0
1,1,1,1,0
1,1,0,0,1
1,0,1,1,1
1,1,0,0,0
0,1,0,1,0
1,0,0,1,1
1,0,0,0,0
0,1,1,1,0
0,1,0,1,1
0,1,0,0,0
1,0,0,1,1
1,0,1,0,0
1,1,0,1,1
1,1,1,1,0
0,1,0,0,0
1,0,0,0,0
1,0,0,1,0
0,1,1,1,1
0,1,0,0,0
0,0,1,1,1
1,1,1,0,0
0,1,0,1,1
1,1,0,0,0
0,1,1,1,0
0,1,0,1,0
0,1,1,1,1
1,1,1,0,1
0,1,1,1,1
1,1,1,1,1
1,1,0,0,1
0,0,1,1,0
0,0,0,0,0
0,1,0,1,1
1,1,0,0,1
0,0,1,1,0
0,1,0,1,1
1,0,0,0,1
1,1,0,1,0
0,1,0,1,1
1,0,1,0,0
0,1,0,1,1
1,0,1,1,1
0,1,1,1,0
1,1,0,0,0
1,1,0,0,0
1,0,1,0,1
1,1,1,1,0
1,0,1,0,1
0,1,1,0,0
1,0,1,1,0
0,0,0,0,1
0,0,0,0,0
1,0,0,1,0
0,1,1,1,0
1,0,1,0,1
0,1,1,0,1
1,0,0,0,0
0,0,0,0,1
1,0,1,1,1
0,1,1,1,0
1,1,0,1,1
1,0,0,1,0
1,0,0,1,1
1,1,0,0,1
1,0,0,0,0
1,1,1,1,0
0,0,0,1,0
1,1,0,0,1
0,0,1,0,1
0,1,1,0,1
1,1,1,1,1
0,1,0,1,0
0,0,1,1,1
1,1,0,0,0
1,1,1,0,0
0,1,0,1,1
0,0,1,0,1
1,1,1,1,0
0,1,0,1,0
1,1,0,0,0
1,1,0,1,0
0,1,0,0,1
1,1,0,0,0
1,0,0,0,0
1,1,1,0,0
0,1,1,1,0
1,1,1,1,1
0,1,1,0,1
1,0,0,1,0
1,1,0,1,1
1,0,1,0,0
0,0,0,1,0
0,1,1,0,1
1,0,0,0,0
0,0,0,0,0
